epoch,train_loss,val_loss,train_acc,val_acc,val_f1_macro,epoch_time_sec,angry_precision,angry_recall,angry_f1-score,disgust_precision,disgust_recall,disgust_f1-score,fear_precision,fear_recall,fear_f1-score,happy_precision,happy_recall,happy_f1-score,neutral_precision,neutral_recall,neutral_f1-score,sad_precision,sad_recall,sad_f1-score,surprise_precision,surprise_recall,surprise_f1-score
1,1.933085734139136,1.849981679461998,0.19580294686709332,0.24714405126776262,0.05661943061406869,135.47523093223572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24714405126776262,1.0,0.3963360142984808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.8780525324333635,1.8041320243031909,0.22681946718261647,0.22555029256060183,0.07337114620477504,134.1243908405304,0.0,0.0,0.0,0.011702986279257466,0.26126126126126126,0.022402471996910003,0.0,0.0,0.0,0.3382978723404255,0.8962795941375423,0.4911955514365153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.8408482583546004,1.8451402233848668,0.25447239172495906,0.17470047366954583,0.10510092371509185,137.69104409217834,0.0,0.0,0.0,0.015095967220185465,0.6306306306306306,0.02948609941027801,0.0,0.0,0.0,0.515255905511811,0.5901916572717024,0.5501839201261166,0.0,0.0,0.0,0.2691552062868369,0.10986367281475541,0.1560364464692483,0.0,0.0,0.0
4,1.8045522159578402,1.7198034744469959,0.2776603661259116,0.26804123711340205,0.15192110254672134,139.16846776008606,0.0,0.0,0.0,0.01260659992584353,0.3063063063063063,0.024216524216524215,0.0,0.0,0.0,0.5037983425414365,0.822435174746336,0.6248394004282656,0.296220633299285,0.23519870235198703,0.26220614828209765,0.23267326732673269,0.11307137129109864,0.1521856449001619,0.0,0.0,0.0
5,1.7705442177573385,1.6812042837257204,0.29489507367167733,0.2881025355252159,0.17006258557708565,135.24082493782043,0.0,0.0,0.0,0.013425549227013833,0.2972972972972973,0.025690930323082912,0.0,0.0,0.0,0.5677244582043344,0.826944757609921,0.6732446076181735,0.2863595302619693,0.2570965125709651,0.2709401709401709,0.24392614188532555,0.2012830793905373,0.22056239015817222,0.0,0.0,0.0
6,1.7406171816696563,1.8427665565763884,0.3104926328322667,0.17651156310950125,0.11084059811000675,135.35695815086365,0.0,0.0,0.0,0.01735434744111918,0.8828828828828829,0.03403959708232025,0.0,0.0,0.0,0.7830832196452933,0.6471251409244645,0.7086419753086419,0.5185185185185185,0.0113544201135442,0.022222222222222223,0.25,0.0056134723336006415,0.010980392156862745,0.0,0.0,0.0
7,1.7112465118577675,1.70945817466299,0.32272659621967553,0.2750069657286152,0.17166737630897674,135.34327292442322,0.0,0.0,0.0,0.019175455417066157,0.5405405405405406,0.037037037037037035,0.0,0.0,0.0,0.6425531914893617,0.766065388951522,0.6988943173052199,0.3070652173913043,0.36658556366585565,0.3341959334565619,0.25925925925925924,0.07858861267040898,0.12061538461538461,0.05952380952380952,0.006016847172081829,0.01092896174863388
8,1.6959829008850709,1.706333804808144,0.32862033040631045,0.2716634159933129,0.16394661543577266,136.4715929031372,0.0,0.0,0.0,0.018199545011374715,0.5045045045045045,0.03513174404015056,0.0,0.0,0.0,0.5663987753539992,0.8342728297632469,0.6747207658992478,0.34914361001317523,0.21492295214922952,0.2660642570281124,0.24955752212389382,0.11307137129109864,0.15562913907284767,0.04878048780487805,0.009626955475330927,0.016080402010050253
9,1.6467221714588374,1.5006626677001609,0.36740586396785235,0.41362496517135694,0.28120597772660344,137.09515118598938,0.0,0.0,0.0,0.06521739130434782,0.02702702702702703,0.03821656050955414,0.2905982905982906,0.06640625,0.10810810810810811,0.46510297482837526,0.9165727170236753,0.6170777988614801,0.3038487508440243,0.36496350364963503,0.3316138540899042,0.32390745501285345,0.30312750601443467,0.3131731565865783,0.5888594164456233,0.5342960288808665,0.5602523659305993
10,1.5900590346920151,1.4350302103469883,0.39205238874832565,0.44455280022290333,0.32163268789259963,138.2715220451355,0.0,0.0,0.0,0.05309734513274336,0.10810810810810811,0.0712166172106825,0.21621621621621623,0.15625,0.18140589569160998,0.633153302866639,0.859075535512965,0.7290121980387467,0.33176100628930816,0.51338199513382,0.40305635148042024,0.3804347826086957,0.22453889334402566,0.28240040342914774,0.5012919896640827,0.7003610108303249,0.5843373493975904
