epoch,train_loss,val_loss,train_acc,val_acc,val_f1_macro,epoch_time_sec,angry_precision,angry_recall,angry_f1-score,disgust_precision,disgust_recall,disgust_f1-score,fear_precision,fear_recall,fear_f1-score,happy_precision,happy_recall,happy_f1-score,neutral_precision,neutral_recall,neutral_f1-score,sad_precision,sad_recall,sad_f1-score,surprise_precision,surprise_recall,surprise_f1-score
1,1.9203518480714508,1.9632041747937399,0.21077541300788807,0.24561159097241572,0.0738880311929855,170.86435317993164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24682883151768392,0.9323562570462233,0.3903244837758112,0.0,0.0,0.0,0.23142250530785563,0.08740978348035285,0.12689173457508732,0.0,0.0,0.0
2,1.9046635395892586,2.01206409496064,0.21568685816341718,0.1529674003900808,0.06831987764643248,173.74406909942627,0.0,0.0,0.0,0.013466958972752897,0.38738738738738737,0.02602905569007264,1.0,0.0009765625,0.001951219512195122,0.2684581976112921,0.5574971815107103,0.3624038109197508,0.0,0.0,0.0,0.21453287197231835,0.04971932638331997,0.08072916666666667,0.2727272727272727,0.0036101083032490976,0.007125890736342043
3,1.8786389874035199,2.1201688592299077,0.23128441732400654,0.05015324602953469,0.04084512743492591,170.37501430511475,0.0,0.0,0.0,0.015692554043234587,0.8828828828828829,0.030837004405286344,0.5,0.001953125,0.0038910505836575876,0.3086232980332829,0.11499436302142052,0.1675564681724846,1.0,0.0008110300081103001,0.0016207455429497568,0.2017167381974249,0.03769045709703288,0.06351351351351352,0.23529411764705882,0.009626955475330927,0.018497109826589597
4,1.8158518394307555,2.644500813267629,0.2848042863521357,0.05252159375870716,0.044130686039442577,173.69147610664368,0.0,0.0,0.0,0.014022501222892548,0.7747747747747747,0.02754644458680333,0.0,0.0,0.0,0.27904040404040403,0.1245772266065389,0.17225253312548713,0.30158730158730157,0.046228710462287104,0.08016877637130802,0.05555555555555555,0.0008019246190858059,0.0015810276679841897,0.2608695652173913,0.01444043321299639,0.027366020524515394
5,1.774078616966075,2.7371716159205146,0.29938979014734335,0.06951797157982725,0.052460242331736025,171.4132981300354,0.0,0.0,0.0,0.013000890471950133,0.6576576576576577,0.02549772965420887,0.0,0.0,0.0,0.27063197026022306,0.20518602029312288,0.2334081436357807,0.5454545454545454,0.014598540145985401,0.02843601895734597,0.24210526315789474,0.018444266238973536,0.03427719821162444,0.23333333333333334,0.02527075812274368,0.04560260586319218
6,1.7403470495765914,2.7662799549023065,0.3088554844470903,0.08205628308721093,0.06247394673226173,173.69725012779236,0.0,0.0,0.0,0.012783819881701965,0.6036036036036037,0.025037369207772796,0.0,0.0,0.0,0.2658072437077962,0.24408117249154454,0.2544813399941228,0.6923076923076923,0.014598540145985401,0.028594122319301033,0.25,0.0136327185244587,0.02585551330798479,0.2523364485981308,0.06498194945848375,0.10334928229665072
7,1.7205316133523274,2.4824709172167796,0.3173388897157315,0.11939258846475341,0.09042845715452533,173.53832292556763,0.0,0.0,0.0,0.011943793911007026,0.4594594594594595,0.023282355626569277,0.0,0.0,0.0,0.2883787661406026,0.33990980834272827,0.31203104786545927,0.2777777777777778,0.05677210056772101,0.09427609427609428,0.22826086956521738,0.016840417000801924,0.03136669156086632,0.23779193205944799,0.13477737665463296,0.17204301075268819
8,1.698196800125197,3.170220664763856,0.32686411668403037,0.07899136249651714,0.0710119999260178,171.26054787635803,0.0,0.0,0.0,0.01267710663683818,0.6126126126126126,0.024840182648401828,0.5,0.0009765625,0.001949317738791423,0.2978723404255319,0.18940248027057496,0.2315644383184011,0.2691131498470948,0.07137064071370641,0.11282051282051282,0.3,0.0048115477145148355,0.009471191791633781,0.20178041543026706,0.08182912154031288,0.11643835616438356
9,1.6808043736789815,3.1226356307853727,0.3318053281738354,0.08693229311786013,0.08392666489197012,173.2234230041504,0.0,0.0,0.0,0.011564092512740102,0.5315315315315315,0.0226357183963169,0.0,0.0,0.0,0.3129251700680272,0.1555806087936866,0.20783132530120482,0.2752941176470588,0.0948905109489051,0.1411338962605549,0.3333333333333333,0.0008019246190858059,0.0016,0.2235294117647059,0.20577617328519857,0.21428571428571427
10,1.6662440497067237,2.5780644000290693,0.34052686411668404,0.14196154917804402,0.1119987086362301,180.6513271331787,0.0,0.0,0.0,0.011456628477905073,0.3783783783783784,0.022239872915011914,0.0,0.0,0.0,0.37061769616026713,0.2502818489289741,0.29878869448183043,0.26277372262773724,0.058394160583941604,0.09555408095554081,0.23353293413173654,0.03127506014434643,0.055162659123055166,0.22542735042735043,0.5078219013237064,0.3122456529781724
11,1.644621735606312,2.132769527525648,0.3489805030510493,0.21900250766230148,0.1472435113870512,177.60864901542664,0.0,0.0,0.0,0.011175898931000973,0.2072072072072072,0.02120792992162287,0.5,0.0029296875,0.005825242718446602,0.36968576709796674,0.4509582863585118,0.4062976130015236,0.25696594427244585,0.13463098134630982,0.1766897285790314,0.28378378378378377,0.03368083400160385,0.060215053763440864,0.24976787372330547,0.6474127557160048,0.3604690117252931
12,1.6345779133119795,2.76900876505058,0.35508260157761573,0.13987183059348007,0.12431492532589306,181.52296113967896,0.0,0.0,0.0,0.011864406779661017,0.44144144144144143,0.0231077576043386,0.75,0.0029296875,0.005836575875486381,0.411275415896488,0.2508455467869222,0.311624649859944,0.2606473594548552,0.12408759124087591,0.16813186813186815,0.2602739726027397,0.030473135525260625,0.054558506819813356,0.25732899022801303,0.3802647412755716,0.30694511898980087
13,1.619112257539454,2.3809778140294715,0.3622562881381158,0.18500975202006129,0.1437991122763524,183.19185709953308,0.0,0.0,0.0,0.01396103896103896,0.38738738738738737,0.02695079912253212,0.2857142857142857,0.001953125,0.0038797284190106693,0.42805495300072305,0.3337091319052988,0.3750395945517897,0.2279495990836197,0.16139497161394972,0.1889838556505223,0.28346456692913385,0.028869286287089013,0.05240174672489083,0.2671353251318102,0.5487364620938628,0.35933806146572106
14,1.603593102426184,2.2784095521290744,0.37020389938979015,0.22025633881303985,0.15953354637988135,184.44320511817932,0.0,0.0,0.0,0.013226452905811623,0.2972972972972973,0.02532617037605526,0.4,0.001953125,0.003887269193391642,0.44218551461245237,0.3923337091319053,0.4157706093189964,0.2495069033530572,0.20519059205190593,0.22518914107699153,0.30303030303030304,0.024057738572574178,0.04457652303120357,0.28492462311557787,0.6823104693140795,0.40198511166253104
15,1.589898120216146,1.9271116923010425,0.3736567941657985,0.2652549456673168,0.17810237140245982,179.29711508750916,0.0,0.0,0.0,0.01192504258943782,0.12612612612612611,0.02178988326848249,0.2631578947368421,0.009765625,0.018832391713747645,0.48672019765287217,0.44419391206313413,0.4644857058650162,0.22202166064981949,0.29927007299270075,0.2549222797927461,0.2825112107623318,0.05052125100240577,0.08571428571428572,0.2681836651767574,0.7942238267148014,0.40097205346294046
